id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage
46.0,9721.0,9721.452266513981,9800.452266513981,0.0,0.0
48.0,9830.0,9830.089358878002,9858.089358878002,0.0,0.0
50.0,10257.0,10257.065289375994,10284.065289375994,0.0,0.0
54.0,10438.0,10438.593847341133,10503.593847341133,0.0,0.0
61.0,11290.0,11290.289189193472,11324.289189193472,0.0,0.0
39.0,8690.0,8690.17825092679,11487.17825092679,0.0,0.0
38.0,8675.0,8680.477183106816,11495.477183106816,0.0,0.0
63.0,11505.0,11505.93897804503,11517.93897804503,0.0,0.0
56.0,10536.0,10536.575557501312,11538.575557501312,0.0,0.0
64.0,11527.0,11538.575557501312,11551.575557501312,0.0,0.0
25.0,7623.0,7624.134016192948,11569.134016192947,0.0,0.0
65.0,11545.0,11552.391795586223,12188.16126262357,0.0,1.0
66.0,11559.0,11569.134016192947,12188.889152458976,1.0,1.0
68.0,12155.0,12188.16126262357,12247.16126262357,0.0,0.0
71.0,12606.0,12606.984941530833,12636.984941530833,0.0,0.0
73.0,12634.0,12636.984941530833,12725.984941530833,0.0,0.0
74.0,12651.0,12725.984941530833,12740.984941530833,0.0,0.0
69.0,12228.0,12247.16126262357,12747.16126262357,0.0,0.0
77.0,12729.0,12747.16126262357,12910.16126262357,0.0,0.0
62.0,11317.0,11487.17825092679,12940.17825092679,0.0,0.0
72.0,12624.0,12940.17825092679,12959.17825092679,0.0,0.0
78.0,12793.0,12910.16126262357,13040.16126262357,0.0,0.0
79.0,12892.0,13040.16126262357,13228.16126262357,0.0,0.0
80.0,13080.0,13080.610654592892,13306.610654592892,0.0,0.0
81.0,13175.0,13228.16126262357,14115.16126262357,0.0,0.0
83.0,13306.0,14115.16126262357,14301.16126262357,0.0,0.0
14.0,6765.0,6765.7923926402,14569.0607689732,14.0,17.0
86.0,13345.0,14569.0607689732,14627.0607689732,0.0,0.0
44.0,9406.0,14569.0607689732,14823.0607689732,0.0,0.0
53.0,10408.0,10408.75298876469,14922.75298876469,0.0,0.0
76.0,12692.0,12740.984941530833,14932.984941530833,0.0,0.0
75.0,12675.0,12959.17825092679,15032.19670439508,0.0,1.0
89.0,13777.0,14932.984941530833,15086.984941530833,0.0,0.0
93.0,14369.0,15033.039365006212,15098.039365006212,0.0,0.0
88.0,13705.0,14922.75298876469,15195.75298876469,0.0,0.0
99.0,14774.0,15195.75298876469,15210.75298876469,0.0,0.0
85.0,13331.0,14569.0607689732,15216.0607689732,0.0,0.0
102.0,15046.0,15210.75298876469,15248.75298876469,0.0,0.0
95.0,14500.0,15086.984941530833,15542.984941530833,0.0,0.0
104.0,15203.0,15248.75298876469,15550.75298876469,0.0,0.0
110.0,15575.0,15576.11311749725,15597.11311749725,0.0,0.0
92.0,14358.0,15032.19670439508,15731.19670439508,0.0,0.0
98.0,14763.0,15098.039365006212,15792.039365006212,0.0,0.0
97.0,14751.0,15792.039365006212,15810.039365006212,0.0,0.0
91.0,14258.0,15216.0607689732,15890.0607689732,0.0,0.0
101.0,15013.0,15890.0607689732,15914.0607689732,0.0,0.0
100.0,14797.0,15810.039365006212,15925.039365006212,0.0,0.0
87.0,13659.0,14627.0607689732,16067.579587875118,2.0,2.0
103.0,15183.0,15914.0607689732,16257.358699787692,0.0,1.0
107.0,15289.0,16257.358699787692,16375.358699787692,0.0,0.0
108.0,15457.0,15542.984941530833,16596.984941530834,0.0,0.0
115.0,16163.0,16596.984941530834,16614.984941530834,0.0,0.0
111.0,15604.0,16375.358699787692,16645.358699787692,0.0,0.0
84.0,13322.0,14301.16126262357,17849.510329406858,3.0,2.0
118.0,16511.0,17849.510329406858,17877.510329406858,0.0,0.0
106.0,15218.0,16068.864014473118,17924.864014473118,0.0,0.0
109.0,15533.0,17924.864014473118,17959.864014473118,0.0,0.0
119.0,16539.0,17877.510329406858,18107.510329406858,0.0,0.0
112.0,15697.0,17959.864014473118,18164.864014473118,0.0,0.0
82.0,13297.0,13306.610654592892,18449.610654592892,0.0,0.0
121.0,17099.0,18449.610654592892,18522.610654592892,0.0,0.0
122.0,17365.0,18522.610654592892,18936.610654592892,0.0,0.0
116.0,16178.0,16645.358699787692,19008.347628979987,1.0,0.0
114.0,16123.0,19008.347628979987,19057.347628979987,0.0,0.0
124.0,17616.0,19057.347628979987,19421.347628979987,0.0,0.0
126.0,18597.0,19421.347628979987,19443.347628979987,0.0,0.0
128.0,18864.0,19443.347628979987,19477.347628979987,0.0,0.0
129.0,18918.0,19477.347628979987,19502.347628979987,0.0,0.0
127.0,18664.0,19421.347628979987,19534.347628979987,0.0,0.0
132.0,19354.0,19502.347628979987,19551.347628979987,0.0,0.0
134.0,19533.0,19534.347628979987,19575.347628979987,0.0,0.0
67.0,11991.0,11992.359171195132,20256.35917119513,0.0,0.0
135.0,19746.0,20256.35917119513,20281.35917119513,0.0,0.0
138.0,20141.0,20256.35917119513,20291.35917119513,0.0,0.0
136.0,19813.0,20291.35917119513,20420.35917119513,0.0,0.0
139.0,20380.0,20420.35917119513,20446.35917119513,0.0,0.0
117.0,16207.0,16614.984941530834,20506.984941530834,0.0,0.0
140.0,20500.0,20507.60804916277,20553.60804916277,0.0,0.0
123.0,17432.0,18936.610654592892,20837.81582730388,2.0,0.0
141.0,20774.0,20837.81582730388,20868.81582730388,0.0,0.0
52.0,10402.0,20869.247891193496,21007.247891193496,0.0,0.0
11.0,5872.0,5891.3106628146925,21094.874710398013,12.0,20.0
90.0,14044.0,21094.874710398013,21129.874710398013,0.0,0.0
49.0,10227.0,14823.0607689732,21273.0607689732,0.0,0.0
96.0,14717.0,21273.0607689732,22334.0607689732,0.0,0.0
120.0,17064.0,18107.510329406858,23213.510329406858,0.0,0.0
142.0,20907.0,23213.510329406858,23272.510329406858,0.0,0.0
144.0,21590.0,23272.510329406858,23340.510329406858,0.0,0.0
131.0,19186.0,19575.347628979987,23513.347628979987,0.0,0.0
147.0,22262.0,23513.347628979987,23544.347628979987,0.0,0.0
149.0,22467.0,23544.347628979987,23621.347628979987,0.0,0.0
150.0,22478.0,23621.347628979987,23688.347628979987,0.0,0.0
151.0,22623.0,23688.347628979987,23737.347628979987,0.0,0.0
153.0,22848.0,23737.347628979987,23747.347628979987,0.0,0.0
154.0,22868.0,23747.347628979987,23772.347628979987,0.0,0.0
145.0,21725.0,23340.510329406858,23818.510329406858,0.0,0.0
162.0,23811.0,23818.510329406858,23842.510329406858,0.0,0.0
163.0,23919.0,23920.132242346015,24217.132242346015,0.0,0.0
165.0,24021.0,24217.132242346015,24340.132242346015,0.0,0.0
133.0,19395.0,22334.0607689732,24545.0607689732,0.0,0.0
105.0,15210.0,15925.039365006212,24667.536231449158,4.0,4.0
158.0,23290.0,24667.536231449158,24759.536231449158,0.0,0.0
155.0,22949.0,23772.347628979987,24795.347628979987,0.0,0.0
169.0,24281.0,24795.347628979987,24840.347628979987,0.0,0.0
148.0,22374.0,23513.347628979987,24883.347628979987,0.0,0.0
159.0,23603.0,24759.536231449158,24910.536231449158,0.0,0.0
167.0,24261.0,24910.536231449158,24955.536231449158,0.0,0.0
156.0,23020.0,24955.642394942453,25004.642394942453,0.0,0.0
164.0,24009.0,25004.642394942453,25032.642394942453,0.0,0.0
172.0,24587.0,25032.642394942453,25059.642394942453,0.0,0.0
175.0,25040.0,25059.642394942453,25089.642394942453,0.0,0.0
176.0,25055.0,25089.642394942453,25203.642394942453,0.0,0.0
178.0,25222.0,25222.415851108883,25281.415851108883,0.0,0.0
168.0,24266.0,24340.132242346015,25355.132242346015,0.0,0.0
180.0,25425.0,25425.34248182298,25460.34248182298,0.0,0.0
143.0,21561.0,24545.0607689732,25513.0607689732,0.0,0.0
171.0,24557.0,24883.347628979987,25542.347628979987,0.0,0.0
181.0,25428.0,25460.34248182298,25631.661847334093,1.0,0.0
183.0,25581.0,25631.661847334093,25659.661847334093,0.0,0.0
184.0,25644.0,25659.661847334093,25778.661847334093,0.0,0.0
185.0,25747.0,25778.661847334093,25855.661847334093,0.0,0.0
113.0,15705.0,18164.864014473118,26070.864014473118,0.0,0.0
186.0,25890.0,26070.864014473118,26128.864014473118,0.0,0.0
179.0,25279.0,25355.132242346015,26202.132242346015,0.0,0.0
187.0,26266.0,26266.113431526188,26377.113431526188,0.0,0.0
188.0,26644.0,26644.10952180894,26679.10952180894,0.0,0.0
189.0,26659.0,26679.10952180894,26744.10952180894,0.0,0.0
190.0,26844.0,26844.114439524295,26871.114439524295,0.0,0.0
152.0,22799.0,25513.0607689732,26940.0607689732,0.0,0.0
160.0,23793.0,26940.0607689732,27001.0607689732,0.0,0.0
161.0,23804.0,27001.0607689732,27115.0607689732,0.0,0.0
192.0,27093.0,27115.685347711023,27141.685347711023,0.0,0.0
193.0,27230.0,27230.1718152223,27291.1718152223,0.0,0.0
191.0,26878.0,26940.819615172393,27353.819615172393,0.0,0.0
195.0,27305.0,27353.819615172393,27393.819615172393,0.0,0.0
196.0,27383.0,27393.819615172393,27418.819615172393,0.0,0.0
197.0,27556.0,27556.112717519194,27594.112717519194,0.0,0.0
198.0,27621.0,27621.685758784817,28063.685758784817,0.0,0.0
194.0,27291.0,27291.1718152223,28070.1718152223,0.0,0.0
199.0,27641.0,28063.685758784817,28086.685758784817,0.0,0.0
200.0,27647.0,28070.1718152223,28095.1718152223,0.0,0.0
170.0,24447.0,24840.347628979987,28457.347628979987,0.0,0.0
94.0,14405.0,21129.874710398013,28865.732228284618,12.0,13.0
173.0,24598.0,28865.732228284618,28941.732228284618,0.0,0.0
174.0,24999.0,28941.732228284618,29036.732228284618,0.0,0.0
177.0,25122.0,29036.732228284618,29383.732228284618,0.0,0.0
182.0,25576.0,29383.732228284618,29557.732228284618,0.0,0.0
70.0,12391.0,21007.247891193496,29648.247891193496,0.0,0.0
125.0,18298.0,29648.247891193496,30883.247891193496,0.0,0.0
166.0,24127.0,27115.0607689732,34615.0607689732,0.0,0.0
157.0,23181.0,26202.77555672759,34662.77555672759,0.0,0.0
146.0,22007.0,34662.77555672759,35375.77555672759,0.0,0.0
130.0,19128.0,30883.247891193496,39987.247891193496,0.0,0.0
9.0,4684.0,39987.247891193496,40012.247891193496,0.0,0.0
13.0,6063.0,40012.247891193496,40257.247891193496,0.0,0.0
30.0,8017.0,40257.247891193496,40821.247891193496,0.0,0.0
47.0,9811.0,40821.247891193496,40849.247891193496,0.0,0.0
51.0,10368.0,40849.247891193496,40876.247891193496,0.0,0.0
55.0,10448.0,40876.247891193496,41178.247891193496,0.0,0.0
57.0,10745.0,41178.247891193496,41227.247891193496,0.0,0.0
58.0,10800.0,41227.247891193496,41279.247891193496,0.0,0.0
59.0,10857.0,41279.247891193496,41303.247891193496,0.0,0.0
60.0,11008.0,41303.247891193496,50174.247891193496,0.0,0.0
137.0,19875.0,50174.247891193496,62687.247891193496,0.0,0.0
