S_time,R_time,Processors,sigma
477757.2402,2023.117372,7,1.924435
481240.6357,283.074417,45,0.107491
485512.672,543577.1131,36,0.557696
488209.8487,216515.4438,27,0.160744
488611.2922,24.114726,34,0.950369
489584.0876,76.348155,65,1.302074
496468.1324,6906.814539,43,1.102341
502089.8762,1061791.694,46,0.084107
508673.7924,318.027333,45,1.889171
508770.0755,844.01946,7,1.398285
510539.59,10991.07928,18,0.767232
511040.324,21.008812,4,1.580859
512464.9626,1219367.3,5,0.997981
512962.1303,49218.91551,7,1.426383
516405.5199,495602.8144,2,0.431945
517698.4661,41.36017,3,0.217967
518938.1849,58625.57631,9,0.673055
521061.4346,50.201854,3,1.683908
533863.4331,3419.943198,64,0.746535
537035.1448,84.699152,24,1.603402
539866.4074,33.655157,40,1.038666
541494.7279,55.059164,14,1.68237
544151.7372,5597.802742,2,1.889181
551442.2193,2659.98138,2,0.715402
560511.9368,616.416494,44,1.992334
561111.7805,764.353911,89,1.090594
561290.2054,2804321.617,6,1.535675
562228.1354,722.437092,26,0.685096
573821.4726,229711.5452,34,0.129779
575291.7174,41.09606,3,1.47335
577237.8364,235290.6892,66,0.817055
578554.1841,97.440565,3,1.363897
581697.6798,19629.01954,35,1.55952
585975.3049,5753.076228,36,0.021056
598191.7169,5.720535,23,1.614865
600982.7266,1876.91719,4,1.381279
601567.4153,115.591692,2,1.549033
602269.836,1792.742367,64,0.045622
603427.9347,1158.514442,33,1.003634
609526.4044,188485.3324,30,1.936063
611090.8591,3180823.662,47,0.66699
611222.3104,158590.5856,4,0.525038
613864.1788,13.471693,28,0.957994
616997.8467,184.806251,5,0.65664
619524.5525,5.649957,29,0.51607
619681.7707,1212.514155,5,1.415648
626353.2777,368.538536,6,1.998056
631904.1367,1927556.219,8,0.943764
632138.8854,1426431.574,5,1.340899
637492.8322,8.781533,26,1.114944
649176.6368,5.35661,8,1.565244
649182.2336,86237.61565,27,0.68094
656258.2157,2644.338373,36,1.057981
658874.3537,79060.67393,8,1.867617
660252.12,526532.6749,2,0.011812
662248.5386,64.771782,17,0.559102
675563.337,237.691606,41,0.94591
682954.7917,2103.242518,43,1.702558
687365.5102,2562293.451,4,0.14866
688202.2751,5958.587886,3,0.470668
691000.9364,918820.7366,5,1.184629
691415.4932,26.292322,2,1.008296
691728.6217,4498.187645,30,1.468343
692305.855,429603.1992,9,1.365881
696713.9685,2006587.205,23,1.1636
702334.4586,501.975104,14,0.885899
711827.7528,716349.8321,11,0.828542
714793.0526,199.995992,18,1.125032
723821.6219,2261.16188,5,1.65018
727670.8118,34408.97888,2,1.603205
728581.2384,9.615722,5,0.915599
732145.8602,27790.1676,2,1.889875
733714.4802,3.472336,87,0.299584
736316.2209,9099.495814,27,0.226238
738507.8852,40.966306,16,1.730702
739171.6664,46.159897,22,1.782529
750311.6067,29486.33522,2,0.722194
751325.2985,67197.33887,33,1.562786
751786.0735,1013.966147,21,1.733786
759782.3573,342.467252,2,1.655176
764160.3648,451.540394,18,1.800806
765634.2617,73423.39012,7,0.681119
768649.5259,602.538428,4,1.005655
771854.1651,97.455437,9,0.349427
779000.9195,6.083423,8,1.609079
792757.3614,876159.1246,4,0.329314
793938.8136,1547.290598,2,0.708647
797913.3104,3.418396,2,1.484383
799181.9793,28.945641,27,1.948547
801783.8758,534.896989,62,1.873872
801969.9168,7.459303,15,0.797255
804274.2318,1000.610931,33,1.549242
806632.5267,2615.129826,2,1.203445
809989.74,1094415.514,46,0.9162
815585.8873,25.135365,42,1.863956
818054.2509,846.092757,10,0.817236
828663.5271,426.817168,7,1.291968
833119.5,28.571461,3,0.107255
834095.274,7396.419184,7,1.575115
838720.8233,31.472789,2,0.231595
839731.0385,244.125659,34,1.149604
840070.3142,7.636229,19,0.814448
840080.6757,1671.222836,43,0.810612
841932.7148,40213.80711,4,1.521643
847546.4263,3942.1714,4,1.246737
850232.2073,693459.1559,9,1.094816
858242.9034,183.000407,5,1.760746
860206.8334,170615.0095,68,0.446684
863283.6158,64.225282,19,0.491803
864283.976,323324.2899,5,0.026614
874970.6189,57.912718,2,0.691196
878034.3459,227213.7433,27,1.776396
879135.4962,2786955.588,19,0.099389
881401.714,16329.71901,20,0.918953
881962.6628,559054.7934,2,1.001795
883264.6232,98.731764,73,1.994949
885367.6657,5.533707,9,1.315496
889405.0632,8.25446,3,0.077193
891466.3971,129249.6715,72,0.409393
892164.5852,72980.81012,8,0.949756
896621.7652,279.486549,2,0.681431
902639.0669,4.484638,2,0.260428
906367.1744,36694.68037,2,1.641039
909072.5508,19.428516,7,1.315601
912550.199,56.537897,69,0.636091
913516.1155,20.000018,2,0.387903
917395.9921,2127.25352,68,0.774566
918331.3487,7739.092649,45,1.685811
918823.962,39.763364,6,1.877058
920031.4693,764.267147,2,0.229304
924070.2265,2479.635611,4,0.508563
925396.3307,3.553186,68,1.65163
927485.4314,25.58832,22,0.972984
929962.5386,98.358067,2,0.665845
930732.0823,49.108614,4,0.348245
935090.4094,627034.5921,12,0.853968
936902.4578,88920.81291,9,1.723956
941333.6581,5887.964125,2,0.435963
946717.6714,128145.5915,11,1.782984
956142.9681,612.811333,10,0.346739
957931.6309,2315081.171,62,1.756548
967959.7518,29.537542,2,1.188694
980624.1486,41.407534,5,1.01088
984516.6764,166297.7382,15,0.668593
984632.15,6064.06245,33,0.985578
997598.6178,7175.82801,41,1.05741
999763.3652,17.577615,25,0.907687
1000299.029,3602.744181,3,1.775997
1001248.692,994294.3539,4,0.187182
1004966.56,1041.008506,3,1.880331
1010415.752,904416.26,4,1.959969
1011457.278,3.180472,76,1.126499
1012734.963,12.128581,20,0.802345
1014153.827,109.352408,2,1.670797
1020352.033,12030.65117,2,0.924005
1022902.929,220366.1344,2,1.37282
1023403.322,766758.4577,19,0.337573
1033567.508,940533.2315,53,0.028115
1036650.686,55696.77686,14,0.145523
1043801.677,85918.33307,6,0.38556
1046123.51,457.235651,3,1.14913
1046645.585,6.484185,17,1.943979
1050056.065,344823.5469,18,0.058867
1052380.255,9.581061,63,0.786057
1055651.859,219644.2615,38,1.93018
1055969.608,11.008388,17,0.559415
1061748.584,184575.133,19,0.721622
1064368.518,65.371947,7,0.20196
1070644.815,2265.489422,2,1.605127
1081963.703,241.821642,15,1.912363
1083270.65,374.316662,11,0.983608
1086524.062,831.998475,7,0.019574
1087806.558,48.494365,9,0.679759
1088391.727,237244.7012,34,0.537213
1088475.458,1245.454434,6,0.016171
1088861.536,5.760299,12,0.96947
1093544.688,32.752939,5,1.55054
1094978.992,31.146652,2,0.136576
1095968.679,116802.4188,6,0.460585
1096187.089,8.593393,61,1.443704
1096862.465,49185.59945,34,0.4255
1111694.635,13.440216,30,1.132253
1112668.319,294579.5274,32,0.212875
1115622.839,131712.7585,33,0.993238
1115806.86,96.05719,15,0.653622
1117060.569,121.181461,13,1.218551
1117429.243,1235.037493,22,1.355051
1120690.196,44986.51702,30,0.29057
1124385.3,830862.3108,2,0.221516
1125694.147,5387.057899,33,0.914542
1127392.8,845.836313,4,0.423382
1128327.975,928668.7029,90,0.639764
1128375.066,63.421824,73,1.345152
1130168.719,7.384183,15,0.702502
1130749.339,48768.2907,2,1.862341
1138153.208,16150.14757,5,1.792555
1141497.828,3619.128153,9,1.335687
1146873.877,1224.318379,18,0.424787
1153476.414,47.696235,80,0.204181
1153966.536,50279.57585,68,0.914887
1160661.405,205.197026,30,0.515759
1162702.157,568.927336,47,1.807876
1162961.154,161.763626,35,0.818877
1165334.113,17352.11769,6,0.275206
1172198.855,164.198973,2,0.222346
1172542.543,2473463.063,2,1.684743
1179377.04,2795224.237,29,1.77809
1179460.181,1472.947481,17,1.659024
1179837.017,112883.5418,18,1.362889
1181668.435,40.664998,36,1.956493
1183300.271,15.400393,16,1.321048
1203555.33,7903.646948,3,0.185325
1205076.892,76.844579,6,0.77491
1206608.348,472.103977,13,0.536432
1206907.526,30.034188,73,1.108392
1214336.458,22.635361,2,1.818036
1217898.381,5096.948476,3,1.94546
1220528.359,2332441.765,31,1.357637
1226679.455,274.855465,4,1.137561
1229668.912,58.039797,2,1.984048
1234234.759,932113.0109,19,0.441847
1236690.697,336.341591,16,1.05755
1237773.419,693950.9692,34,1.948238
1237847.092,1441.657959,44,1.482418
1238193.577,965935.069,8,0.413976
1244570.077,19342.26783,23,0.473313
1250633.1,3420.208199,11,1.644937
1250644.78,244.732727,2,1.211867
1254666.78,333.219315,28,0.197512
1256474.844,8.854556,31,0.864169
1256919.775,326.828327,27,0.656131
1262317.077,2667.091508,3,1.813164
1263101.64,9.38947,3,0.662166
1263248.691,285.67592,3,0.050803
1272691.49,341.768503,4,1.600803
1274556.931,733.101571,11,0.685037
1278353.943,66.270021,3,0.135196
1279549.907,147.153516,2,1.769617
1280486.729,39963.44079,4,1.991279
1286595.785,1732112.451,5,0.788586
1291085.153,1816.418714,5,1.096272
1292042.495,19.209556,20,0.553904
1294568.132,15112.24106,24,1.29877
1299406.468,440.100687,76,0.577022
1306076.308,6.246457,65,0.832134
1306287.984,10828.35094,2,0.566076
1306349.88,7082.687104,8,0.605468
1307565.074,7.151637,3,0.724538
1308726.828,387658.899,73,0.830258
1310317.546,30834.25294,47,1.188529
1318393.561,90143.1132,2,0.050523
1328554.279,2046639.613,29,0.113608
1329648.273,5.175016,38,0.349676
1329958.23,619728.1489,7,0.3105
1330989.35,549267.7968,2,1.392886
1332855.632,294.330247,73,0.880195
1333205.89,5353.508364,21,1.820213
1333882.087,1988274.22,11,1.141133
1334750.013,197.206926,2,1.175056
1337923.542,3238.613055,5,1.613105
1339709.463,6308.341002,11,1.376372
1340417.208,134.326721,14,1.534976
1342826.235,34141.14401,4,0.333339
1343534.955,2854759.566,12,0.692126
1345510.399,17.188129,49,1.254887
1349291.408,4.528959,3,1.388185
1349764.075,176.307777,6,0.804941
1351355.412,62.687734,4,0.420037
1351467.975,58724.98586,20,0.440633
1356441.29,4.967237,50,1.572169
1359392.986,407.564237,10,0.580984
1364653.375,18638.81237,2,0.872814
1365233.961,221.820568,16,0.466034
1367033.355,509945.5505,66,1.702538
1367336.163,265809.7677,35,1.149425
1368758.815,248451.9446,2,1.065051
1371476.701,1904206.63,74,1.932409
1371711.81,40.461809,53,1.890171
1377278.964,180376.0429,67,1.635437
1378806.214,952.052293,56,1.151444
1378922.011,2821.186959,2,1.509058
1386170.252,1019.7899,53,0.401816
1388709.173,28662.0545,61,0.873019
1394996.237,523.099542,39,0.088912
1397887.176,92.691333,2,0.738432
1404928.203,3.661261,9,0.046933
1405956.503,2875582.247,2,1.658983
1412573.135,1733343.981,3,0.062991
1420066.622,3805.389562,40,0.058612
1422926.95,44.418624,5,0.505165
1424492.115,43170.08852,9,1.492048
1426577.776,604197.1869,2,0.056729
1428013.475,138885.9763,56,1.489525
1429578.707,753710.933,13,1.605342
1430762.604,1061021.013,8,1.05285
1434038.936,2049465.619,2,1.42446
1437405.268,391.107845,60,1.731148
1437527.039,962.604387,81,0.075779
1437984.638,50605.15572,3,1.539402
1438682.234,869.320589,5,0.750341
1443304.864,10.068022,2,1.410524
1452198.179,11.355435,14,0.440154
1452980.379,12679.20706,3,1.413233
1457745.935,34344.49042,53,0.459099
1461664.059,13.183313,7,1.08208
1462208.918,444.749055,4,0.389177
1464662.89,1793.754653,41,1.247866
1467560.404,51782.04886,4,0.030445
1476882.972,246751.7485,11,0.454271
1476922.83,2431.501989,3,1.739814
1477277.662,44.93535,40,0.626951
1478550.473,31.314434,2,1.955834
1479199.431,2132.255191,41,1.303735
1479240.262,10.083761,37,0.498474
1480384.95,249.80102,62,0.484846
1483266.859,74.499915,2,1.260556
1484323.737,4986.095508,4,1.11226
1496386.726,97.077722,2,0.253298
1499767.755,1790554.601,24,0.404183
1500559.955,42.364433,23,1.189371
1501345.427,238.136066,31,1.429361
1505505.55,24.810344,35,0.659958
1505915.191,7.757117,5,0.369404
1512243.748,60.483138,52,0.356421
1520178.333,6928.943935,4,1.605768
1520514.711,12488.82937,72,1.207419
1523801.229,800.523124,10,0.294169
1533276.704,1564.490219,4,1.708005
1543663.759,91897.89012,46,0.732785
1546273.528,4686.398047,2,0.694658
1548783.533,1560.311002,4,1.571859
1561848.148,46388.20064,47,1.946331
1572543.018,463.114974,24,1.110509
1573251.424,16873.83668,76,0.168991
1574301.964,19.660817,3,1.176063
1581005.74,6.990537,2,0.579636
1582065.192,145950.0257,48,0.004198
1589730.531,4.284934,4,1.926059
1591789.528,3.422967,6,0.50647
1592271.313,7.857643,3,1.660968
1593713.63,8306.743378,4,1.758446
1594532.409,4.260971,3,1.6423
1596157.748,7106.762716,2,0.970405
1597639.004,11893.49999,15,1.819658
1599504.275,1888.471737,13,1.893421
1606527.852,258815.1734,35,0.638091
1606744.128,2477304.708,3,0.457516
1610148.292,3.925539,54,1.190836
1615763.817,66.23988,7,0.581799
1615904.436,1512540.05,4,1.094192
1616418.605,18.941387,5,0.862524
1628115.581,7672.517091,57,1.641799
1630231.209,117431.5746,49,1.526095
1631362.08,20.851418,2,1.21461
1631931.366,222940.1678,75,0.497303
1633351.364,54.904901,2,1.938064
1633731.35,315578.2098,55,0.429314
1633844.778,96.259216,42,1.729536
1635032.949,891.594804,43,1.149142
1635721.969,187.354734,5,1.658678
1646376.889,37497.82051,25,0.008847
1647114.288,33129.36626,2,1.703045
1647510.427,98676.53416,9,1.562487
1648589.64,100084.7952,3,1.122296
1652990.97,131.960692,2,0.227602
1658664.063,1312585.222,2,1.016706
1669183.499,6758.112666,8,1.520693
1672651.882,8240.66346,3,1.011709
1673144.561,762.664278,3,0.677319
1680195.392,8.19638,66,0.688957
1682324.059,18353.18983,59,1.132797
1683315.446,120639.8553,21,1.792959
1686183.236,1528395.538,42,1.762659
1689499.06,98.110775,4,1.230966
1690759.886,2494.101426,3,1.731306
1694573.082,3170643.586,56,0.527062
1696798.319,221443.2441,79,0.867134
1697989.268,39.779381,2,0.771616
1701126.361,286441.0815,2,0.465413
1702206.819,16326.15799,75,0.017191
1703381.711,54093.84537,26,1.737649
1705527.573,50.816092,13,0.869363
1705853.529,1945064.376,4,1.760305
1707375.122,11038.07393,14,1.563038
1708798.97,40.897459,37,1.384434
1711162.256,1113.043348,2,0.928985
1715677.264,35.753034,2,1.983
1716871.874,4862.306045,4,0.556233
1718027.784,41.409163,66,1.982075
1721941.469,21085.06633,20,1.814628
1723518.216,8501.888974,16,0.87452
1736075.192,1515885.284,23,0.133178
1743353.79,339.833134,15,0.525798
1744938.672,2233970.496,49,1.770173
1745589.183,13062.80694,8,1.51729
1747945.447,9.624649,3,0.336092
1749448.252,214451.8263,13,0.512446
1750109.911,154.310133,3,1.033293
1751917.464,22062.8021,23,0.365322
1765219.737,257399.5539,52,1.770654
1772417.996,62210.00181,4,1.132405
1772789.929,8.475445,13,0.259362
1774881.467,152081.6628,2,0.223201
1779217.595,1392840.311,5,0.94812
1780618.123,7.86186,2,0.71845
1780621.479,600.613983,2,1.749962
1781525.943,3.070982,83,0.152658
1784268.057,2311692.572,19,0.025304
1784692.618,7341.465183,54,1.86406
1784984.646,63.966117,16,0.477115
1794413.484,904105.2853,32,0.324966
1808962.96,28.340417,19,0.168916
1809274.438,440474.0545,2,1.791997
1811019.374,395.687287,60,0.497104
1826438.099,19.283469,65,1.792058
1828229.55,251951.5056,4,0.418956
1828299.672,139.661849,76,1.486985
1833442.918,114435.5368,15,1.752882
1835015.43,178711.4261,24,1.349829
1836618.182,149.031639,2,1.076935
1839793.878,6314.311314,20,0.654013
1840894.359,1152173.792,4,0.030166
1844904.913,3056183.041,7,0.555978
1845473.359,3427.182172,10,0.899421
1849223.577,9.984336,3,0.079848
1849746.01,33828.88946,2,1.797663
1851693.464,196.287496,31,0.470178
1857188.451,1988501.525,13,0.937259
1858495.44,164368.1902,81,0.195801
1859673.326,1572463.735,13,0.421256
1859843.691,6402.847368,9,0.252214
1864744.969,2722992.125,4,0.574457
1867359.233,460564.331,3,0.464533
1868075.478,1337.948843,2,0.733793
1879498.972,6.364937,23,0.024296
1880477.049,71759.61723,2,0.649169
1882917.087,140.841489,9,1.959867
1891773.609,68.351271,6,0.682476
1896264.898,244363.0224,6,0.923857
1898931.057,139.357165,9,1.047102
1902194.252,7335.730798,24,0.168553
1902764.305,351124.9989,4,1.896794
1907816.277,1454.069808,8,1.44378
1908407.519,204432.9413,19,0.467466
1914756.065,3561.39104,74,1.06552
1939027.158,3177831.926,4,0.970887
1939432.14,594516.1554,2,1.174672
1940900.391,1293.818247,37,1.909495
1941023.626,41.696787,42,0.812382
1945793.648,97.095391,25,1.807806
1946345.105,7.466458,88,1.617714
1946471.974,232355.8726,15,0.423006
1953923.074,12.349161,3,0.401082
1960918.009,445613.965,2,1.870893
1963261.911,822022.2179,2,0.679758
1963583.304,11602.53619,13,1.247308
1974726.547,2283.296405,13,0.067796
1981067.953,3185453.08,2,1.516568
1984338.099,583922.3373,5,1.127569
2010821.661,49162.31215,67,0.251988
2011848.784,20826.15859,12,1.490711
2012451.685,27866.57411,14,0.796161
2021793.528,1339.708747,31,1.264268
2032655.179,186870.5786,9,0.280352
2033995.825,4841.987592,7,1.983963
2036375.109,2944583.821,36,0.876814
2039342.205,38.240936,30,1.921834
2040434.242,208509.9581,14,0.602564
2040933.273,512.273472,18,1.249384
2048566.78,32797.58052,36,1.165472
2052240.019,116.669512,5,1.553845
2055135.398,151.387842,4,0.457545
2058634.748,27195.95141,59,0.242021
2059275.666,417350.8985,7,0.835252
2060949.555,155.911576,11,0.514984
2063195.493,509.015178,14,0.641701
2066503.36,32943.30046,3,1.454819
2069129.08,28.926125,27,1.436827
2071921.003,9.737139,2,0.704494
2073349.458,38.850665,2,0.164094
2078773.049,50882.09756,54,1.467558
2079572.85,109.297582,5,0.745386
2084015.863,115698.8355,4,0.989376
2085283.782,2018711.599,19,0.846369
2096344.383,550853.2331,32,0.178095
2096435.874,105041.5547,7,0.063377
2112413.731,87.365363,12,1.792404
2114875.486,44608.08033,3,1.641279
2115590.846,12.04847,41,0.126237
2119665.993,113177.1391,13,1.920997
2124584.093,3.098778,2,0.024284
2129053.036,2699264.062,45,1.371263
2130402.944,47649.96166,4,0.428103
2135423.042,55943.86622,4,0.943224
2139111.788,159.896567,17,0.340567
2144344.83,2396.580874,2,1.565343
2148676.752,4.332396,8,0.683069
2150856.592,16335.55813,2,0.757862
2161844.383,6.693498,2,0.606212
2163669.104,5447.556545,82,1.750789
2166034.651,65.940083,4,0.270245
2167554.168,433.846406,51,1.50736
2171583.869,5.386795,3,1.516157
2177097.735,176.196749,2,0.460404
2181213.402,133.276431,27,0.614269
2204204.469,807681.0955,2,1.960966
2211387.45,2636.696755,89,0.849285
2214671.148,8.070509,83,0.525868
2222029.253,9194.787536,50,0.575735
2226851.526,2853.455488,17,0.505922
2231041.165,7195.363246,89,0.060056
2232985.022,4.642939,32,1.376372
2235123.956,251223.8039,10,1.076599
2242446.968,1200541.531,5,0.20549
2249396.141,67.301415,32,0.005966
2257285.228,101.81514,2,1.464815
2258389.314,4.736796,2,1.449563
2258629.903,186.762376,2,1.399328
2266444.959,85.404815,37,1.211208
2277588.382,74343.16228,25,0.704084
2277963.252,2654.805468,2,1.332657
2279946.711,134025.7123,29,1.141621
2284761.36,192.149352,12,0.634787
2286550.848,97.858089,5,1.385118
2290670.743,199074.3273,3,0.21452
2290775.496,23.511341,2,1.354987
2290908.037,8944.065547,86,0.033951
2293470.107,9913.923382,2,0.447837
2295784.359,2212.790716,8,0.100208
2298364.081,24652.21218,2,1.596081
2298387.174,12.834901,2,0.369198
2300508.613,25.877153,6,1.352079
2301034.059,21541.03579,7,1.696458
2302536.154,284.90802,3,1.323571
2305796.433,34.869901,2,1.690342
2306492.67,264.008783,52,1.723843
2311832.838,437455.1994,3,0.711163
2314721.395,808700.1271,3,1.592629
2327258.268,27514.09538,3,0.870633
2327743.633,9.79284,43,0.21705
2331082.229,3166.942327,64,0.820023
2337695.437,72.27849,21,0.04958
2338524.939,85.219359,71,0.025534
2338573.987,1545.918474,10,0.361825
2347770.93,54.285654,58,0.57128
2350908.081,26.099139,27,0.476934
2353497.743,17079.47625,32,0.797659
2361160.094,6161.025025,4,1.557801
2364800.812,7952.649635,40,0.59559
2367903.035,155.138154,2,1.812581
2372406.842,2396466.26,21,0.352701
2376413.759,9892.410154,7,0.090538
2377741.957,4182.482368,8,0.895853
2380333.775,7093.254358,9,1.47227
2391398.705,10.174029,59,1.711852
2393923.094,121.781575,21,1.027049
2400921.25,171708.2417,2,1.614334
2403996.545,16.767859,12,1.665113
2407476.317,3889.224926,23,1.623057
2409201.448,161.635088,11,0.155526
2409726.893,15.805834,2,1.529464
2412167.322,95.960152,3,0.331557
2415235.269,194.119407,12,1.129774
2417545.707,2426034.449,3,0.124668
2420738.789,1194.490584,5,0.179486
2425049.356,49947.02378,11,1.624946
2427120.486,34443.45878,57,1.325145
2427597.945,27.333212,22,0.227542
2430385.709,4642.194868,17,0.00014
2431473.823,3873.653549,2,1.925232
2431907.962,463.330657,2,0.419026
2436731.465,3118.580021,2,1.558785
2436990.107,299.933761,84,1.649876
2439997.164,48346.83917,2,0.216612
2442572.993,6971.206136,5,0.20412
2445496.079,324389.9198,2,1.007737
2446994.085,648.46891,3,1.317582
2448709.264,925712.3201,2,1.525374
2451831.996,44644.91701,2,0.785397
2466783.741,248180.5175,3,0.332822
2479839.023,23131.61598,9,0.725046
2491230.084,188244.1337,14,0.221854
2494636.829,118648.3616,22,1.070124
2499053.733,22.927297,5,0.754712
2513028.703,165566.8094,15,0.07596
2520528.48,6.154355,88,0.658228
2520836.044,404.162334,49,0.791803
2522570.69,1250.074022,10,0.375007
2523311.73,7584.861229,4,0.987251
2524424.701,143390.5037,4,0.112041
2530944.331,8.410581,69,1.508023
2538450.124,537889.5744,3,0.217258
2541804.208,4.197414,12,0.487512
2546401.996,415210.9265,47,1.554165
2549604.682,10277.73385,16,1.410213
2550840.495,1211.156752,47,1.892652
2568326.179,12.090854,13,1.888926
2569701.136,6.952454,27,1.675366
2569977.528,63.477535,3,0.951447
2571681.211,91722.01294,5,0.934375
2575299.991,507464.1376,2,1.913192
2581186.307,28152.30782,2,0.077557
2583668.6,5.640434,24,0.104429
2585696.204,72609.52399,2,0.56644
2590981.594,53.294325,34,0.825092
2595858.701,4.294439,7,1.122939
2596053.486,1008215.859,6,0.102238
